模型训练开始，起始时间：2024-07-13 06:23:43.091239
当前Batch：10/6035 | 当前epoch:0/50 | 当前损失值：10.113 | 当前准确率：0.00%
当前Batch：20/6035 | 当前epoch:0/50 | 当前损失值：10.1232 | 当前准确率：0.00%
当前Batch：30/6035 | 当前epoch:0/50 | 当前损失值：10.1335 | 当前准确率：0.00%
当前Batch：40/6035 | 当前epoch:0/50 | 当前损失值：10.0693 | 当前准确率：0.00%
当前Batch：50/6035 | 当前epoch:0/50 | 当前损失值：10.0721 | 当前准确率：0.00%
当前Batch：60/6035 | 当前epoch:0/50 | 当前损失值：9.995 | 当前准确率：0.00%
当前Batch：70/6035 | 当前epoch:0/50 | 当前损失值：10.0109 | 当前准确率：0.20%
当前Batch：80/6035 | 当前epoch:0/50 | 当前损失值：9.9407 | 当前准确率：0.00%
当前Batch：90/6035 | 当前epoch:0/50 | 当前损失值：9.902 | 当前准确率：0.91%
当前Batch：100/6035 | 当前epoch:0/50 | 当前损失值：9.8964 | 当前准确率：1.04%
当前Batch：110/6035 | 当前epoch:0/50 | 当前损失值：9.8281 | 当前准确率：3.58%
当前Batch：120/6035 | 当前epoch:0/50 | 当前损失值：9.864 | 当前准确率：1.64%
当前Batch：130/6035 | 当前epoch:0/50 | 当前损失值：9.8157 | 当前准确率：3.57%
当前Batch：140/6035 | 当前epoch:0/50 | 当前损失值：9.7642 | 当前准确率：2.53%
当前Batch：150/6035 | 当前epoch:0/50 | 当前损失值：9.5642 | 当前准确率：6.00%
当前Batch：160/6035 | 当前epoch:0/50 | 当前损失值：9.7383 | 当前准确率：2.86%
当前Batch：170/6035 | 当前epoch:0/50 | 当前损失值：9.5066 | 当前准确率：4.21%
当前Batch：180/6035 | 当前epoch:0/50 | 当前损失值：9.4031 | 当前准确率：5.24%
当前Batch：190/6035 | 当前epoch:0/50 | 当前损失值：9.4461 | 当前准确率：3.73%
当前Batch：200/6035 | 当前epoch:0/50 | 当前损失值：9.5023 | 当前准确率：3.73%
当前Batch：210/6035 | 当前epoch:0/50 | 当前损失值：9.4948 | 当前准确率：2.86%
当前Batch：220/6035 | 当前epoch:0/50 | 当前损失值：9.2888 | 当前准确率：5.56%
当前Batch：230/6035 | 当前epoch:0/50 | 当前损失值：9.3678 | 当前准确率：2.19%
当前Batch：240/6035 | 当前epoch:0/50 | 当前损失值：9.2641 | 当前准确率：4.03%
当前Batch：250/6035 | 当前epoch:0/50 | 当前损失值：9.2469 | 当前准确率：3.66%
当前Batch：260/6035 | 当前epoch:0/50 | 当前损失值：9.2715 | 当前准确率：4.74%
当前Batch：270/6035 | 当前epoch:0/50 | 当前损失值：9.2384 | 当前准确率：2.48%
当前Batch：280/6035 | 当前epoch:0/50 | 当前损失值：9.0029 | 当前准确率：6.65%
当前Batch：290/6035 | 当前epoch:0/50 | 当前损失值：9.3638 | 当前准确率：2.48%
当前Batch：300/6035 | 当前epoch:0/50 | 当前损失值：9.1414 | 当前准确率：0.31%
当前Batch：310/6035 | 当前epoch:0/50 | 当前损失值：9.0502 | 当前准确率：6.81%
当前Batch：320/6035 | 当前epoch:0/50 | 当前损失值：8.9635 | 当前准确率：7.98%
当前Batch：330/6035 | 当前epoch:0/50 | 当前损失值：8.9273 | 当前准确率：4.38%
当前Batch：340/6035 | 当前epoch:0/50 | 当前损失值：9.0475 | 当前准确率：4.95%
当前Batch：350/6035 | 当前epoch:0/50 | 当前损失值：8.9893 | 当前准确率：5.32%
当前Batch：360/6035 | 当前epoch:0/50 | 当前损失值：8.8278 | 当前准确率：3.27%
当前Batch：370/6035 | 当前epoch:0/50 | 当前损失值：8.9177 | 当前准确率：5.61%
当前Batch：380/6035 | 当前epoch:0/50 | 当前损失值：9.0546 | 当前准确率：4.66%
当前Batch：390/6035 | 当前epoch:0/50 | 当前损失值：8.9885 | 当前准确率：3.96%
当前Batch：400/6035 | 当前epoch:0/50 | 当前损失值：8.9807 | 当前准确率：3.70%
